epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,114.721,1.76156,8.49976,1.76433,0.44333,0.58685,0.48054,0.31836,1.88783,8.54137,1.66169,0.00109,0.00109,0.00109
92,115.987,1.75235,8.21222,1.7555,0.42333,0.6018,0.48691,0.33249,1.88528,8.44583,1.66493,0.000991,0.000991,0.000991
93,117.218,1.7258,7.72796,1.73683,0.80247,0.45998,0.48905,0.33805,1.89311,8.50144,1.68437,0.000892,0.000892,0.000892
94,118.506,1.66515,7.51591,1.70083,0.41494,0.65366,0.48018,0.34139,1.89591,8.52827,1.70455,0.000793,0.000793,0.000793
95,119.803,1.61616,7.4031,1.65108,0.45201,0.64531,0.47647,0.35105,1.88497,8.45273,1.70619,0.000694,0.000694,0.000694
96,121.073,1.64171,7.47207,1.73012,0.4485,0.64474,0.47371,0.36654,1.85571,8.27578,1.67619,0.000595,0.000595,0.000595
97,122.351,1.61874,7.34387,1.66783,0.46469,0.64732,0.49069,0.37606,1.81715,8.09299,1.63709,0.000496,0.000496,0.000496
98,123.607,1.60709,7.21841,1.67725,0.47838,0.64186,0.50181,0.38262,1.7903,7.99441,1.6127,0.000397,0.000397,0.000397
99,124.848,1.60651,7.19782,1.66938,0.50024,0.65201,0.51713,0.39113,1.76689,7.91051,1.60043,0.000298,0.000298,0.000298
100,126.083,1.56919,7.18673,1.68143,0.51216,0.63651,0.52759,0.39565,1.74775,7.82976,1.58841,0.000199,0.000199,0.000199
